time,Q,COD,NH4,NO3,TSS,DO,RAS_Q,IR_Q,WAS_Q
0.00,9500,390,28,0.5,205,1.8,6800,18000,300
0.25,9800,405,29,0.5,210,1.9,7000,19000,310
0.50,11000,460,34,0.4,240,2.2,8000,22000,350
0.75,10500,445,32,0.6,232,2.1,7600,21000,340
1.00,10000,420,30,0.6,220,2.0,7200,20000,330
1.25,9700,400,28,0.8,210,1.9,7000,19000,320
1.50,9200,370,26,0.9,195,1.7,6600,17500,300
1.75,9000,360,25,1.0,190,1.6,6400,17000,290
2.00,9600,395,27,0.8,205,1.8,6800,18500,310
2.25,10400,435,31,0.5,228,2.0,7500,20500,335
2.50,11200,475,35,0.4,250,2.3,8200,23000,365
2.75,10800,455,33,0.5,238,2.1,7800,21500,350
3.00,10100,425,30,0.7,222,2.0,7300,20000,330
